area_actual,grupo_padre,grupo,nuevo_nombre,activo,notas
Jefatura Académica,Administrativos,Vicerrectorado,Jefatura Académica,1,
Laboratorios de Computo,Académicos,,Academicos Modular,1,
Laboratorios y gabinetes de Medicina,Académicos,,Academicos Semestral,1,
Marketing,Administrativos,,Marketing,1,
NAF,Administrativos,,NAF,1,
Plaza UPDS,Extras,Eventos,Plaza UPDS,1,
Publicidad,Administrativos,,Publicidad,1,
Recepción,Administrativos,,Recepción,1,
Rectorado,Administrativos,Rectorado,Rectorado,1,
Rectorado Nacional,Extras,,Rectorado Nacional,1,
Registro,Administrativos,,Registro,1,
Relaciones Públicas,Administrativos,,Relaciones Públicas,1,
SFIC,Extras,,SFIC,1,
Sala 1 (Directorio),Extras,,Sala 1 (Directorio),1,
Sala 2 (Directorio),Extras,,Sala 2 (Directorio),1,
Sala 3 (Directorio),Extras,,Sala 3 (Directorio),1,
Sala Magna,Administrativos,,Sala Magna,1,
Sala de Docentes,Administrativos,Vicerrectorado,Sala de Docentes,1,
Sala de lectura,Administrativos,,Sala de lectura,1,
Secretaria Consistencia,Administrativos,Rectorado,Secretaria Consistencia,1,
Secretaria General,Administrativos,Rectorado,Secretaria General,1,
Servicios Generales,Administrativos,,Servicios Generales,1,
Sistemas,Administrativos,,Sistemas,1,
Soporte Técnico,Administrativos,,Soporte Técnico,1,
Souvenirs,Administrativos,,Souvenirs,1,
Talento Humano,Administrativos,Rectorado,Talento Humano,1,
Trámites Académicos,Administrativos,,Trámites Académicos,1,
Vicerrectorado,Administrativos,Vicerrectorado,Vicerrectorado,1,
Vicerrectorado Administrativo,Administrativos,Vicerrectorado,Vicerrectorado Administrativo,1,
